Grade,Study_Stress,Study_Hours,Participation_Count,Career_Concern,Academic_Achievement,Distance_Home_Uni,Dorm,Home_Visit_Frequency,University_Satisfaction,Food_Delivery_Frequency,Social_Relationship_Satisfaction,Alcohol,sex,school,smoke_1,smoke_2,Physical_Activity,Depression_Level_int,depression_total,DE_LEVEL
4,4,2,3,5,5,3,1,1,5,2,5,1,0,1,0,0,2,2,7,0
2,4,1,1,4,3,0,0,7,3,1,2,0,0,0,0,0,0,3,13,0
3,1,1,4,4,3,1,0,4,4,3,4,2,0,0,1,0,0,2,6,0
4,3,0,1,5,4,0,0,7,4,1,3,2,0,0,0,0,0,4,17,1
2,4,2,2,4,3,2,1,2,3,3,4,3,1,0,0,0,4,1,1,0
3,4,2,3,5,3,2,0,2,3,1,4,4,0,0,0,0,5,2,9,0
1,3,1,2,2,3,0,1,2,3,2,5,2,0,0,1,0,5,1,1,0
2,5,2,4,5,4,1,0,7,4,1,3,2,0,0,0,0,0,5,20,1
3,1,1,4,3,4,2,0,2,4,1,5,3,1,0,1,0,3,1,3,0
4,5,1,4,4,2,1,0,2,3,3,3,0,1,0,1,0,4,3,13,0
3,3,1,2,4,3,1,1,3,4,0,4,1,0,0,0,0,1,1,3,0
2,2,0,4,4,3,1,1,3,4,2,5,2,1,0,1,0,0,1,1,0
3,3,1,1,4,3,2,0,2,3,1,3,2,1,1,0,0,6,2,8,0
3,3,0,0,5,2,1,0,3,3,1,3,1,0,0,0,0,1,3,10,0
3,3,0,0,3,1,3,1,3,4,0,5,1,1,0,0,1,10,1,2,0
3,4,3,4,3,3,2,0,1,3,3,4,1,1,0,0,0,0,2,9,0
1,4,1,1,4,3,1,1,3,1,1,1,1,0,0,0,0,3,4,19,1
1,5,3,2,4,4,3,1,1,3,1,3,1,0,0,0,0,0,4,15,1
1,1,3,2,1,4,0,1,3,3,4,4,3,0,0,0,0,0,2,7,0
3,3,1,1,3,3,3,1,1,5,1,4,1,1,0,0,0,0,3,10,0
3,3,2,2,3,3,2,1,2,3,2,3,3,1,0,0,1,8,4,18,1
3,2,1,2,4,3,2,1,3,3,1,4,1,0,0,0,0,0,2,8,0
3,4,2,2,5,2,2,1,2,3,4,4,2,1,0,0,0,6,2,5,0
1,4,1,2,5,4,2,0,1,4,2,4,2,0,0,0,0,8,3,10,0
3,3,1,1,4,4,2,1,3,3,3,4,0,0,0,0,0,1,2,7,0
2,1,0,2,3,4,2,0,3,4,0,4,2,1,1,0,0,0,2,7,0
2,3,2,2,4,2,3,0,1,3,1,5,1,1,1,0,0,7,1,1,0
1,3,1,2,4,3,2,1,3,3,2,3,2,0,0,0,0,0,1,4,0
1,5,2,2,5,4,1,1,1,3,2,2,4,1,0,1,0,5,4,15,1
3,3,1,4,4,2,1,0,1,2,2,5,2,0,0,1,0,4,5,22,1
1,3,0,0,5,4,1,0,7,3,0,3,4,1,0,1,0,12,2,9,0
2,4,1,4,5,3,2,1,3,4,3,4,1,0,0,0,0,3,3,11,0
1,2,1,4,3,4,1,1,3,3,1,3,2,0,0,0,0,5,1,2,0
3,3,2,1,5,3,3,0,1,3,3,4,2,0,0,1,0,14,4,17,1
1,1,0,2,4,2,2,0,1,5,2,4,4,1,0,1,0,4,3,11,0
2,4,1,1,5,2,1,1,2,2,1,4,2,0,0,0,0,5,3,11,0
2,1,1,4,3,5,3,1,1,3,4,4,3,1,0,1,0,8,1,1,0
4,4,3,3,5,4,1,0,1,3,4,4,2,1,0,0,1,9,3,12,0
1,3,3,4,4,4,1,1,3,5,2,5,3,0,0,0,0,3,2,9,0
1,2,0,1,5,2,1,1,2,3,3,3,1,1,0,1,0,6,3,10,0
3,3,1,1,5,2,2,1,3,3,2,3,2,1,0,1,0,2,2,8,0
1,2,1,3,5,1,0,1,2,2,3,2,2,1,0,0,0,4,5,23,1
4,2,1,0,5,3,1,1,1,3,1,2,0,1,0,0,0,2,2,5,0
4,2,2,4,2,4,0,1,1,4,2,5,2,1,1,0,0,5,1,1,0
2,2,2,1,5,4,2,1,2,5,3,5,2,1,0,1,0,2,1,3,0
2,3,0,2,2,2,1,0,1,3,0,3,2,0,0,0,0,0,3,12,0
3,4,1,2,4,3,3,1,1,5,2,3,2,0,0,0,0,4,2,5,0
1,4,1,4,5,1,3,1,4,2,2,2,3,0,0,0,0,0,5,20,1
1,3,1,4,4,3,3,1,1,3,2,4,2,0,0,0,0,4,3,10,0
1,2,2,2,5,4,1,1,3,3,0,5,3,0,0,0,0,3,1,4,0
4,3,1,2,5,4,0,0,7,3,4,4,2,0,1,0,0,4,1,3,0
3,4,3,2,5,4,3,0,2,4,3,4,3,0,0,1,0,0,2,9,0
2,2,1,4,4,3,3,1,2,3,3,4,2,1,0,1,0,2,1,3,0
4,2,1,0,2,3,1,0,7,2,2,3,1,0,1,0,0,3,2,9,0
4,1,1,4,4,3,1,0,3,4,2,4,3,1,1,0,0,4,1,3,0
3,4,1,3,3,3,0,1,1,4,4,4,1,0,0,0,0,2,1,1,0
3,4,4,4,5,4,2,1,3,3,0,4,0,0,0,0,0,3,1,2,0
2,3,0,2,3,3,2,0,1,3,1,3,3,1,0,1,0,8,2,7,0
1,4,0,3,2,1,1,1,1,2,0,1,2,0,0,1,0,3,5,21,1
2,4,2,2,3,2,10,0,1,3,3,3,0,1,1,0,0,9,4,19,1
2,3,1,4,2,4,1,0,3,2,1,4,1,0,0,0,0,7,2,8,0
3,4,2,1,5,4,0,0,7,4,1,3,2,0,0,0,0,0,1,3,0
3,2,1,3,3,3,1,0,7,5,0,5,1,1,0,1,0,8,1,4,0
4,1,0,4,4,3,2,0,1,2,0,3,3,1,0,1,0,8,3,12,0
2,5,2,1,3,5,1,0,5,3,2,5,1,0,0,0,0,0,1,3,0
3,4,2,1,5,4,1,0,7,3,3,5,1,0,0,0,0,6,2,6,0
1,3,0,4,5,2,1,0,1,4,1,5,1,1,0,0,1,4,1,4,0
4,3,2,1,5,4,3,0,2,4,1,5,2,0,0,0,0,4,2,9,0
3,5,4,2,2,4,2,1,3,3,2,4,2,0,0,0,0,3,2,5,0
3,3,0,4,4,3,2,1,1,3,2,4,2,1,0,1,0,2,2,8,0
2,4,3,0,4,2,1,0,1,4,4,3,2,1,0,0,0,11,3,13,0
2,1,1,4,4,4,1,0,1,3,2,3,1,0,1,0,0,0,1,1,0
4,3,2,1,5,3,2,0,7,3,1,5,0,0,1,0,0,1,4,15,1
2,2,2,4,3,4,0,0,2,3,2,5,3,1,0,0,0,8,1,1,0
4,1,0,4,3,3,2,0,1,4,3,5,3,1,1,1,0,4,1,4,0
1,1,1,2,1,3,0,1,1,4,2,5,2,1,0,0,0,5,1,1,0
4,2,0,0,3,3,1,0,7,1,0,5,1,0,1,0,0,0,2,6,0
3,3,1,1,4,3,1,0,7,4,1,4,1,1,1,0,0,6,1,4,0
4,4,2,1,3,4,1,0,3,4,1,3,2,0,1,0,0,5,1,0,0
3,2,2,1,4,3,2,0,2,3,3,3,2,1,0,0,0,2,3,14,0
3,3,5,2,4,4,1,0,3,5,4,5,2,0,0,0,0,0,2,8,0
3,1,1,4,3,4,1,0,7,3,1,5,1,0,1,0,0,1,3,10,0
4,1,1,1,1,3,1,0,7,4,1,5,0,0,1,0,0,12,3,14,0
3,4,3,1,4,3,1,1,3,4,1,4,2,1,0,1,0,4,3,10,0
4,3,4,1,5,3,2,0,1,3,2,3,2,0,1,0,0,12,4,18,1
2,4,5,4,2,4,1,1,2,4,2,4,1,0,0,0,0,0,1,1,0
3,4,2,4,5,4,1,0,2,3,0,4,1,0,1,0,0,0,3,11,0
4,5,5,1,5,5,1,0,1,5,2,5,4,1,1,0,0,0,1,0,0
4,4,2,1,5,5,1,0,7,5,4,4,1,0,1,0,0,4,2,7,0
4,5,1,3,5,3,2,0,1,4,2,5,0,1,0,0,0,6,1,0,0
4,4,2,1,4,2,1,0,2,1,1,4,2,1,0,0,1,5,3,12,0
1,1,3,4,1,2,1,1,1,5,4,5,2,1,0,1,0,6,1,0,0
3,1,1,0,3,4,1,1,3,2,1,3,2,1,0,0,0,2,1,0,0
2,3,2,2,3,4,3,0,4,3,2,4,2,1,1,0,0,5,2,7,0
4,3,4,4,5,4,3,0,3,3,0,3,2,0,1,0,0,0,2,8,0
1,2,0,3,5,3,3,1,1,2,2,5,3,1,0,0,0,5,2,5,0
2,3,1,2,2,4,1,1,1,2,1,5,2,0,0,0,0,7,1,4,0
2,2,1,3,5,3,1,0,7,4,2,4,2,0,0,0,0,2,1,0,0
1,2,1,4,4,2,1,0,7,4,1,4,1,0,0,0,0,4,4,15,1
1,2,1,4,4,3,2,1,4,3,1,4,2,0,0,0,0,1,2,5,0
2,2,4,4,3,3,3,1,1,3,2,5,2,0,0,0,0,5,1,1,0
4,2,1,2,3,4,1,1,4,5,1,4,1,0,0,0,0,2,1,3,0
4,4,4,2,2,3,1,0,1,1,2,4,2,1,0,1,0,1,2,9,0
1,3,2,1,4,3,1,1,2,4,1,5,2,0,0,0,0,9,2,5,0
1,2,1,1,4,3,2,1,2,3,3,4,1,0,0,0,0,0,4,15,1
3,3,1,1,5,4,3,1,3,3,1,3,3,0,0,0,0,0,3,10,0
3,3,0,1,2,3,2,0,2,4,3,4,3,1,0,0,0,7,1,4,0
3,4,1,2,5,4,1,0,2,4,1,3,1,0,0,0,0,6,1,1,0
3,5,0,2,5,1,3,0,1,2,1,1,1,0,0,0,0,1,5,21,1
2,5,1,0,2,4,1,0,7,5,1,5,0,0,0,1,0,0,4,16,1
3,3,1,0,5,4,0,0,7,2,2,2,1,0,0,0,0,2,3,13,0
3,3,1,0,3,4,2,1,2,2,0,2,2,1,0,1,0,6,3,11,0
3,4,3,0,5,4,1,0,7,3,0,4,2,0,0,0,0,0,1,4,0
3,1,0,0,1,5,2,0,7,1,0,5,0,1,1,0,0,3,1,1,0
3,2,1,1,1,2,0,0,7,5,4,4,0,1,0,0,0,0,3,11,0
3,5,0,3,5,3,2,1,3,4,0,4,0,0,0,1,0,2,1,3,0
4,2,1,2,3,4,2,0,1,4,0,5,0,0,1,0,0,0,3,10,0
2,4,1,3,4,2,6,0,2,3,1,3,2,0,0,0,0,2,2,6,0
3,5,0,3,5,4,1,0,4,3,4,5,2,0,0,1,0,0,2,8,0
3,4,3,2,4,4,3,1,3,4,2,4,2,0,0,0,0,0,3,12,0
3,5,0,2,4,4,1,0,5,4,3,4,2,0,0,1,0,0,2,9,0
3,3,1,2,3,3,1,1,2,2,4,3,1,1,1,1,0,6,3,13,0
3,4,2,4,5,3,1,1,2,4,2,4,2,0,0,0,0,0,4,15,1
2,3,1,2,4,3,1,1,1,5,3,4,2,1,0,0,0,4,1,3,0
3,4,4,3,4,3,2,0,1,4,3,4,2,1,0,0,0,0,3,13,0
4,2,5,1,2,3,2,0,3,2,1,5,0,1,0,0,0,5,2,7,0
3,4,2,4,5,4,3,1,2,3,1,5,2,0,0,0,0,0,3,12,0
4,4,2,1,4,3,1,0,7,5,1,4,1,0,0,0,0,1,2,9,0
